product_id;Product Type:;Producer:;Collections:;Age Group:;Ground type:;Class:;Upper:;Type of binding:;Boots with sock:;Collection:;Color:;Plays in these boots:;Manufacturer's Data:;Team:
350;Football boots;Nike;Nike Tiempo;Men;Soft Ground (SG/SG-PRO);Professional;Leather;Shoelace;No;Nike Peak Ready;Mint;;NIKE Retail B.V., PO BOX 6453, Colosseum 1, 1213 0, NL;
351;Football boots;adidas;adidas Predator;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Lack;No;adidas Marinerush;Blue;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
352;Football boots;adidas;adidas Predator;Men;Firm Ground (FG);Professional;Synthetic;Shoelace;No;adidas Marinerush;Blue;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
353;Football boots;adidas;adidas Predator;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;adidas Marinerush;Blue;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
354;Football boots;adidas;adidas Predator;Men;Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;adidas Marinerush;Blue;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
355;Football boots;adidas;adidas Predator;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;adidas Marinerush;Blue;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
356;Football boots;adidas;adidas X;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Lack;No;adidas Marinerush;Blue;;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
357;Football boots;adidas;adidas X;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;adidas Marinerush;Blue;;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
358;Football boots;adidas;adidas Copa;Men;Firm Ground (FG);Professional;Leather;Shoelace;No;adidas Marinerush;Blue;Paulo Dybala;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
359;Football boots;adidas;adidas Copa;Men;Soft Ground (SG/SG-PRO);Professional;Leather;Shoelace;No;adidas Marinerush;Blue;Paulo Dybala;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
